b1,b2,b3,b4,b5,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
2,17,3,1,0,2,1,2,2,2,2,2,2,1,1,0,3
2,10,1,1,0,3,1,2,1,2,3,3,3,2,2,0,2
2,9,1,1,0,2,1,1,1,2,2,1,2,1,2,0,2
1,11,1,1,0,2,2,3,3,2,2,3,3,4,2,1,2
1,14,2,1,0,3,1,1,1,3,1,1,1,1,1,0,2
1,10,1,1,0,4,4,4,4,2,2,2,4,3,3,1,4
1,10,1,2,0,3,1,3,1,3,1,1,3,1,1,2,3
1,13,2,2,0,4,1,2,1,4,2,1,3,1,1,1,2
1,14,2,1,0,3,3,2,2,3,2,2,2,1,1,3,2
2,15,3,1,0,3,2,2,1,2,2,2,2,1,1,0,2
2,17,3,3,0,3,2,2,2,2,2,4,2,1,1,0,2
1,16,3,2,0,3,1,1,1,3,3,1,1,1,1,0,2
1,16,3,2,0,3,2,1,1,3,2,2,2,1,1,2,4
2,11,1,1,1,4,1,2,1,3,1,1,2,2,1,0,2
1,9,1,2,1,3,1,1,1,3,1,1,1,1,1,0,3
2,13,2,2,1,3,2,3,2,2,1,2,2,2,2,0,2
1,12,2,1,1,2,1,2,2,2,2,1,1,2,1,0,2
2,16,3,1,1,3,3,2,2,3,3,3,4,2,2,0,4
1,16,3,1,1,3,2,1,4,4,4,1,2,2,2,0,4
2,12,2,1,0,3,1,1,1,2,2,1,2,1,1,0,2
2,14,2,1,1,3,1,2,2,2,2,2,1,2,2,1,2
2,15,3,1,1,3,1,2,3,3,3,3,3,1,1,0,3
2,17,3,1,1,3,1,2,2,3,3,1,2,1,1,0,2
1,9,1,1,1,3,2,3,4,2,2,4,3,2,2,2,3
1,12,2,2,1,3,1,1,1,3,3,1,2,1,1,0,2
1,14,2,1,1,3,1,2,2,4,3,1,1,1,1,0,3
2,17,3,1,1,2,2,4,2,3,4,4,2,1,1,0,1
2,12,2,1,0,2,1,1,1,2,2,1,3,1,1,0,2
2,16,3,1,0,2,1,2,2,2,1,2,2,1,1,1,3
2,13,2,1,0,5,5,5,5,5,5,5,5,4,4,0,0
1,15,3,1,0,3,3,3,2,2,3,3,3,2,1,2,3
1,17,3,1,0,3,1,2,2,3,2,1,1,2,2,0,3
2,15,3,2,0,3,1,1,1,3,1,1,1,1,1,0,3
2,14,2,2,0,3,2,2,2,2,2,2,1,1,1,0,2
2,17,3,1,0,3,1,1,1,4,1,1,1,1,1,0,3
2,16,3,1,0,3,1,1,1,3,2,1,1,1,1,0,3
1,16,3,1,0,3,1,2,1,3,2,1,3,1,2,0,3
2,12,2,2,0,2,2,3,3,3,3,1,3,2,2,0,3
2,11,1,2,0,3,2,2,2,3,2,2,2,1,1,0,2
2,16,3,1,0,2,1,2,3,2,2,2,2,1,1,0,2
2,14,2,1,0,4,2,1,2,4,3,1,2,1,1,0,4
2,14,2,2,0,3,1,1,1,3,2,2,2,1,1,0,2
1,12,2,1,0,1,1,1,2,3,1,3,4,1,1,1,3
1,15,3,2,0,2,1,2,1,3,1,1,1,1,1,0,2
1,13,2,2,0,2,1,1,1,3,1,1,1,2,2,1,2
2,17,3,1,0,2,1,1,1,3,2,2,2,4,4,1,4
2,14,2,2,0,3,1,2,2,4,3,1,4,1,1,0,2
2,17,3,2,0,4,1,1,1,4,2,1,1,1,1,0,4
1,17,3,1,0,2,1,1,1,3,3,1,1,1,1,0,3
2,13,2,1,0,2,1,2,1,3,3,2,2,1,1,0,3
2,13,2,1,0,4,1,1,1,4,2,1,1,1,2,0,3
2,17,3,1,0,2,1,3,2,2,1,2,1,1,1,2,3
1,16,3,2,0,2,1,1,2,3,2,1,2,2,2,1,2
2,13,2,1,0,3,1,2,2,3,2,2,2,1,1,1,2
2,16,3,1,0,3,1,3,3,3,1,1,1,1,1,0,3
1,16,3,2,0,2,2,2,2,3,3,1,2,2,3,4,2
1,14,2,2,0,2,1,1,1,2,5,4,1,2,3,2,3
2,14,2,1,0,2,2,3,1,4,1,1,1,1,1,0,4
1,14,2,1,0,4,1,1,1,3,3,1,1,1,1,1,3
2,17,3,2,0,2,1,1,1,2,2,2,2,1,1,0,2
1,11,1,1,0,4,1,1,1,3,1,1,1,2,2,0,4
2,14,2,1,0,3,1,1,1,4,2,3,3,3,3,0,3
2,17,3,2,0,2,1,2,1,3,1,2,3,1,1,0,2
1,16,3,1,0,3,1,1,1,4,2,2,2,1,1,1,3
2,11,1,1,0,3,1,1,1,3,3,1,1,1,1,0,2
1,11,1,1,0,3,1,2,1,4,2,1,2,1,1,0,2
2,12,2,2,0,3,1,2,1,3,2,1,2,1,4,1,2
2,15,3,1,0,3,1,1,1,3,3,2,2,1,1,0,1
1,13,2,1,1,3,1,1,1,3,2,2,2,2,2,0,2
1,13,2,2,1,3,1,1,1,3,1,1,3,1,1,2,3
1,12,2,2,1,2,1,1,1,4,2,1,1,1,1,0,2
2,17,3,1,1,2,1,3,3,4,2,1,1,1,1,2,3
1,15,3,2,1,4,2,1,1,4,2,1,1,1,1,0,3
2,14,2,1,1,5,5,2,4,5,2,5,1,1,4,0,4
1,15,3,1,1,3,1,2,3,3,2,2,3,1,1,1,2
1,15,3,3,1,3,1,2,1,3,2,2,2,2,2,0,3
1,11,1,1,0,4,1,2,1,3,2,1,1,1,1,0,3
1,12,2,1,0,3,1,3,1,3,3,3,3,2,2,1,3
1,12,2,1,0,1,1,1,1,3,1,1,1,1,1,0,1
1,14,2,1,0,2,2,3,2,3,4,5,2,2,1,0,3
2,12,2,1,0,3,1,1,1,2,2,1,1,1,1,0,2
2,16,3,2,0,3,2,1,1,3,2,1,1,1,1,0,3
2,10,1,1,0,3,1,1,1,3,1,1,1,1,1,0,2
1,11,1,1,0,2,2,1,1,2,1,3,2,1,2,0,2
2,12,2,1,0,2,1,1,1,3,3,3,1,1,1,0,2
1,15,3,1,0,4,1,1,1,4,1,1,1,1,1,0,4
2,12,2,1,0,2,1,1,2,2,3,1,1,1,1,0,1
2,15,3,1,0,2,1,3,2,3,2,2,1,1,1,1,2
2,15,3,1,0,3,3,3,3,4,3,1,3,1,1,0,2
2,17,3,1,0,3,1,3,1,4,3,1,1,1,1,1,3
1,9,1,2,0,3,3,1,2,3,3,3,3,2,2,0,3
2,14,2,1,0,2,1,1,3,3,3,1,1,2,2,2,3
2,12,2,1,0,3,2,2,1,2,3,2,3,1,1,0,1
1,15,3,1,0,3,1,2,3,2,3,2,4,1,1,1,2
2,9,1,1,1,3,1,1,2,3,1,1,1,1,1,0,2
1,16,3,1,1,3,1,1,1,3,1,3,3,1,1,1,2
1,12,2,2,0,3,3,3,2,3,3,1,3,1,2,1,2
1,12,2,1,0,2,1,1,1,2,3,2,3,1,1,0,2
1,15,3,1,0,3,1,1,2,4,1,2,3,3,2,1,3
1,16,3,2,1,1,2,3,1,3,3,1,3,1,1,2,3
1,12,2,3,0,1,1,1,1,3,3,1,1,1,1,0,2
1,17,3,2,0,4,1,2,1,3,3,3,3,1,1,1,2
1,17,3,1,0,1,1,1,2,2,1,1,1,1,1,0,1
2,12,2,2,0,3,1,1,3,2,2,1,1,1,1,0,2
2,15,3,1,0,3,1,1,1,3,1,1,1,1,1,0,3
2,16,3,1,0,3,1,1,1,1,1,1,1,1,1,0,1
2,10,1,2,1,3,1,1,1,2,1,1,2,1,1,0,2
2,14,2,2,1,4,1,1,1,3,2,2,2,1,1,0,3
2,14,2,1,1,3,1,3,1,3,1,1,2,1,1,1,2
2,15,3,2,1,3,1,3,3,3,2,3,1,1,1,1,3
1,13,2,1,1,3,1,2,1,3,3,1,1,2,1,0,2
2,16,3,1,1,3,2,2,2,4,3,2,2,1,1,0,3
2,12,2,1,1,3,1,1,2,3,5,1,1,1,2,0,2
1,16,3,1,1,2,1,3,2,3,3,1,3,1,1,1,3
2,17,3,1,1,2,1,1,1,3,3,1,1,1,1,0,2
2,9,1,1,0,3,1,3,2,1,2,1,1,1,1,0,1
2,13,2,1,0,2,1,2,2,2,2,1,3,1,1,0,2
2,13,2,2,0,1,1,2,2,2,1,1,1,1,1,0,1
2,16,3,1,0,2,1,2,2,2,3,3,3,1,1,0,1
2,17,3,1,0,2,1,2,1,2,2,2,1,1,1,0,2
2,14,2,2,0,3,1,2,1,3,2,1,2,1,1,0,2
2,10,1,2,0,1,1,1,1,1,1,1,3,1,1,0,2
2,15,3,1,0,1,1,1,1,3,1,1,1,1,1,0,2
2,16,3,1,0,2,1,1,1,1,3,3,2,1,1,0,2
2,14,2,2,0,1,1,3,1,2,3,1,1,1,1,0,2
2,9,1,2,0,1,1,1,1,3,3,1,1,1,1,0,2
2,17,3,1,0,2,1,3,3,2,1,2,2,1,1,0,2
2,14,2,1,0,2,1,2,2,3,2,1,2,1,1,0,2
1,14,2,2,0,3,1,3,1,3,3,1,1,1,3,0,1
2,14,2,2,0,3,1,2,1,2,2,1,1,1,1,0,2
1,14,2,2,0,2,1,2,1,3,3,1,1,1,1,0,2
1,16,3,1,0,4,1,2,2,4,2,1,2,2,2,2,3
1,16,3,1,0,2,2,2,2,3,3,3,3,2,2,0,2
1,10,1,1,1,3,1,2,1,2,3,1,1,1,1,0,2
2,15,3,1,1,2,1,1,1,3,1,1,1,1,1,0,2
2,12,2,1,1,3,1,2,1,3,3,1,1,1,1,0,3
2,12,2,1,1,3,1,1,1,3,3,1,1,1,1,0,3
2,16,3,1,1,3,1,1,1,1,2,1,1,1,1,0,2
1,13,2,2,1,4,2,2,2,2,2,2,2,2,2,1,2
1,16,3,2,1,3,3,3,3,3,3,4,4,1,1,0,3
2,10,1,1,0,3,1,2,2,2,1,1,1,1,1,0,2
1,11,1,1,0,2,1,3,1,1,1,1,1,1,1,0,2
2,12,2,2,0,3,1,1,1,2,1,1,1,1,1,0,2
2,13,2,2,0,3,1,1,1,3,3,1,1,1,1,0,2
1,12,2,1,0,3,1,2,3,1,2,2,3,1,1,0,2
1,14,2,2,0,1,1,5,1,3,3,3,1,2,1,0,3
2,14,2,2,0,4,1,2,2,3,2,1,2,1,1,0,3
2,16,3,1,0,3,1,1,1,3,3,2,2,1,1,0,3
1,15,3,1,0,3,1,1,1,1,1,1,1,1,1,0,2
2,9,1,1,0,3,1,1,1,3,2,1,1,1,1,0,2
2,14,2,1,0,3,1,2,1,2,2,1,1,1,1,0,2
1,13,2,2,0,3,1,1,1,3,3,2,1,1,1,0,3
2,16,3,2,0,3,1,2,1,3,1,1,3,1,1,0,2
2,14,2,2,0,3,1,3,3,3,3,2,3,2,2,1,2
2,16,3,1,0,1,2,1,2,2,3,3,3,1,1,0,3
2,13,2,1,0,3,1,2,1,3,1,1,2,1,1,0,3
2,10,1,1,0,1,1,3,1,3,1,1,3,1,1,0,3
1,10,1,1,0,3,1,1,1,3,1,1,3,1,1,0,1
2,14,2,1,0,3,1,2,2,3,2,2,2,1,1,0,3
2,14,2,2,0,5,1,2,3,3,2,2,2,2,2,0,2
1,15,3,1,0,1,1,1,1,2,1,1,3,1,1,1,3
2,13,2,1,0,2,1,2,3,4,4,1,1,1,3,0,4
1,13,2,1,0,3,1,1,1,2,1,1,1,1,1,0,2
1,15,3,1,0,2,1,2,2,2,2,2,1,1,1,0,2
2,15,3,2,0,4,1,2,2,4,2,3,3,1,1,0,3
2,17,3,2,1,3,1,3,2,3,3,1,1,1,1,0,3
1,16,3,2,1,2,1,1,1,2,1,1,1,2,2,0,2
1,16,3,1,1,2,2,2,2,2,2,2,2,1,1,1,2
2,9,1,2,0,2,2,2,2,3,2,2,2,1,1,0,1
2,13,2,1,0,3,1,3,1,3,1,3,1,1,1,0,3
2,10,1,2,1,2,1,2,1,1,3,3,1,1,1,0,1
2,9,1,1,0,3,1,3,2,2,3,4,3,1,1,0,1
2,14,2,1,0,2,1,2,3,2,3,3,2,2,2,0,3
2,16,3,2,0,4,1,1,1,4,3,1,1,1,1,0,4
1,15,3,1,0,3,1,1,1,3,1,1,1,1,1,0,3
1,17,3,1,0,1,1,1,1,3,1,1,1,1,1,1,3
1,15,3,1,0,3,1,3,1,3,1,1,3,1,1,3,3
2,17,3,2,0,4,1,3,1,4,3,3,1,1,1,0,2
2,13,2,1,0,3,1,2,1,3,1,1,1,2,2,0,2
1,14,2,2,0,3,1,2,2,3,1,2,1,1,1,0,2
2,17,3,1,0,3,1,1,1,3,1,1,1,1,1,0,2
2,10,1,2,0,3,3,4,2,2,3,5,2,3,2,4,4
2,13,2,1,0,2,1,2,2,2,2,2,2,1,1,0,2
2,17,3,1,0,3,2,1,2,3,2,1,1,2,2,1,4
2,16,3,1,1,2,1,1,1,3,1,1,1,1,1,0,3
1,15,3,1,1,3,1,1,1,3,1,1,1,1,1,0,3
2,17,3,1,0,2,1,2,1,3,3,4,3,1,1,0,2
2,16,3,1,0,3,1,2,2,2,2,2,3,1,1,0,3
2,16,3,2,0,2,1,2,5,2,3,5,5,1,1,0,2
2,14,2,1,0,1,1,1,2,3,3,1,1,1,1,0,2
2,14,2,1,0,3,1,2,1,2,2,2,2,1,1,0,2
2,16,3,1,0,3,1,2,2,3,2,2,2,1,1,0,2
1,15,3,1,0,4,1,2,1,4,4,2,2,2,2,1,3
1,16,3,1,0,3,1,2,1,3,2,2,3,1,1,0,3
2,13,2,1,0,1,1,2,2,3,2,2,2,2,2,0,2
2,15,3,1,0,2,1,2,2,2,1,2,2,1,1,1,2
2,17,3,1,0,2,1,1,1,3,1,1,1,1,1,2,2
2,17,3,1,0,2,1,2,1,2,1,1,1,1,1,0,2
2,15,3,2,0,3,1,1,1,3,1,1,2,1,1,1,2
2,13,2,2,0,2,1,2,1,1,1,1,2,1,1,1,2
2,13,2,2,0,3,1,2,2,2,2,1,2,1,1,0,2
2,16,3,1,0,2,1,2,2,2,2,2,2,1,1,0,2
2,16,3,2,0,3,1,1,2,3,2,1,1,1,1,0,2
1,16,3,1,0,1,1,2,1,2,1,1,1,2,2,0,3
1,13,2,2,1,3,2,1,2,3,2,2,2,1,1,0,3
2,13,2,1,1,3,1,3,1,3,4,4,1,4,4,0,2
1,11,1,1,1,1,1,2,1,3,1,1,3,2,4,0,3
2,12,2,2,1,3,1,1,1,4,2,1,2,2,2,1,3
2,14,2,1,1,2,1,3,1,1,1,1,1,2,2,1,2
1,14,2,1,1,3,1,2,1,3,2,1,3,1,1,0,2
1,13,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2
2,15,3,2,1,3,1,2,2,4,3,2,2,1,1,0,2
2,16,3,1,1,4,1,2,2,3,2,2,2,1,1,0,3
2,16,3,1,1,3,1,2,3,2,3,2,2,1,1,0,2
1,16,3,2,1,4,1,4,4,4,3,1,3,2,2,1,4
1,10,1,1,0,2,1,1,1,4,1,4,4,1,1,0,3
1,14,2,1,0,3,2,2,4,4,3,1,4,2,1,0,4
1,16,3,1,0,3,2,3,3,2,2,2,2,1,1,0,2
1,12,2,1,0,3,1,1,1,3,1,1,2,1,1,0,2
2,14,2,2,0,3,1,1,1,4,3,1,2,1,1,0,2
2,15,3,1,0,3,1,1,1,3,3,1,2,1,1,0,2
2,15,3,1,0,2,1,2,1,3,1,1,2,1,1,0,2
2,17,3,2,0,3,1,3,3,4,3,1,1,2,1,0,3
1,15,3,1,0,4,1,1,2,4,3,1,2,1,1,0,4
2,9,1,2,0,4,1,1,2,4,2,1,2,1,1,0,1
2,17,3,1,0,2,2,1,1,2,1,2,1,1,1,0,3
1,12,2,2,0,3,3,1,1,1,2,1,2,2,2,2,2
2,13,2,1,0,2,1,1,1,3,1,1,1,1,1,0,2
1,13,2,1,0,3,1,1,2,3,2,1,1,1,1,0,2
2,16,3,1,0,2,1,2,1,3,5,2,2,4,1,0,2
2,17,3,1,0,2,1,3,3,3,3,3,2,1,1,0,2
1,10,1,2,1,3,2,1,1,3,1,3,1,1,2,2,2
1,17,3,2,1,3,2,2,1,4,4,1,1,2,2,1,4
2,14,2,2,1,3,1,2,2,3,4,1,4,1,1,0,3
2,12,2,1,1,4,4,4,5,4,4,5,1,3,1,4,2
2,14,2,2,1,3,1,1,1,3,2,2,4,2,2,1,3
1,17,3,2,0,3,1,1,1,1,1,1,1,1,1,0,3
1,14,2,2,0,2,1,1,1,3,1,1,4,1,1,1,2
2,16,3,1,0,3,1,4,2,2,3,2,3,1,1,0,2
2,11,1,2,1,3,1,2,1,3,3,1,2,1,1,0,3
2,15,3,2,1,3,1,1,1,3,2,1,1,1,1,0,2
1,11,1,2,0,3,1,1,1,2,1,2,2,2,2,2,2
1,13,2,2,0,3,1,2,1,3,2,2,1,1,1,0,3
2,16,3,2,0,2,2,3,2,2,3,2,1,1,1,2,2
2,15,3,2,0,3,2,4,2,3,2,2,2,1,2,0,4
1,10,1,2,0,3,1,2,3,3,1,1,1,1,1,0,2
2,13,2,2,0,3,1,1,1,3,1,1,1,1,1,0,2
1,16,3,2,1,4,1,1,1,4,3,3,3,1,1,2,3
1,14,2,2,1,3,1,1,1,3,4,1,1,1,1,0,3
2,17,3,1,1,5,5,1,1,3,2,1,1,1,1,0,2
2,12,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1
1,14,2,2,0,2,2,2,2,3,2,2,2,1,2,0,3
2,15,3,3,0,3,1,2,1,3,2,1,5,1,1,0,2
2,10,1,2,0,4,1,1,1,4,1,3,2,1,3,0,2
2,11,1,2,0,3,1,1,1,3,1,1,1,1,1,0,2
2,14,2,2,0,3,1,3,1,3,2,1,1,1,1,0,3
2,13,2,3,0,4,3,3,2,4,2,3,2,4,4,2,3
2,17,3,1,0,2,4,2,2,3,3,3,3,3,2,2,3
1,11,1,2,0,3,3,3,1,2,2,2,2,2,2,3,3
2,10,1,3,0,2,1,1,2,3,1,1,1,1,1,1,3
1,13,2,1,0,2,1,2,2,2,2,2,2,1,2,0,2
2,16,3,2,0,2,1,2,2,2,2,1,2,1,1,1,2
1,13,2,2,0,2,1,2,1,3,2,2,4,1,2,2,2
2,12,2,1,0,3,1,1,1,3,3,1,1,1,1,1,1
1,13,2,2,0,2,1,1,1,2,1,1,1,1,1,0,2
2,16,3,1,0,2,1,1,1,3,4,1,1,1,1,0,2
2,16,3,1,0,4,3,3,3,4,2,2,4,1,1,0,2
2,14,2,2,0,3,1,3,3,3,2,1,1,1,1,0,2
2,12,2,1,0,3,3,4,3,3,4,4,3,4,3,0,3
2,12,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1
2,10,1,2,0,3,1,2,2,3,4,3,4,1,1,1,4
1,10,1,1,0,3,2,4,2,4,2,4,2,1,1,0,4
1,17,3,2,0,3,1,2,2,3,1,1,1,2,2,0,2
2,15,3,2,0,2,1,2,1,2,2,2,1,1,1,0,2
1,13,2,2,0,3,2,1,2,3,1,1,3,1,1,2,2
1,15,3,1,0,3,2,2,2,3,3,1,2,1,2,1,2
1,17,3,1,0,3,1,2,2,3,3,2,1,1,2,1,2
2,12,2,2,0,2,1,1,1,3,2,1,2,1,1,0,2
1,14,2,3,0,3,1,1,1,3,2,2,1,1,1,1,2
2,17,3,2,0,3,1,2,2,3,2,1,1,4,2,2,3
2,11,1,1,0,4,1,2,2,4,1,1,2,1,1,0,3
2,13,2,2,1,2,1,2,2,3,1,1,2,2,2,0,2
1,11,1,2,1,3,2,4,4,3,2,4,3,3,2,2,3
2,12,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2,10,1,2,1,2,1,2,1,2,1,1,3,1,1,0,2
2,12,2,2,1,2,1,3,1,4,2,1,2,2,2,0,2
1,15,3,3,1,4,1,3,1,4,2,1,1,2,1,0,3
2,16,3,1,1,3,1,1,2,3,2,2,2,1,1,0,2
1,12,2,2,1,2,1,1,1,4,2,1,1,1,1,0,3
1,12,2,2,0,3,4,1,1,2,1,1,4,1,1,0,2
2,10,1,2,0,2,5,5,5,5,5,5,5,4,4,0,0
2,13,2,2,0,3,2,2,5,3,2,5,2,1,1,0,2
1,15,3,2,0,3,1,4,3,4,3,2,2,1,2,0,3
2,14,2,2,0,1,1,1,3,2,2,1,2,1,1,0,2
2,16,3,2,0,3,1,3,3,3,3,3,3,2,2,4,2
2,12,2,1,0,2,2,2,2,2,2,2,2,1,2,5,2
2,15,3,2,0,3,2,1,1,4,2,1,1,2,2,2,3
1,14,2,1,0,3,1,1,1,3,1,1,1,1,2,3,2
1,13,2,1,0,3,1,1,1,3,1,1,2,1,1,0,2
2,15,3,2,0,3,1,1,1,3,1,5,1,1,4,0,3
2,14,2,1,0,2,1,2,1,2,1,1,2,1,1,0,2
2,10,1,1,0,3,2,5,5,1,1,1,1,1,1,0,1
1,14,2,2,0,3,1,2,2,3,2,1,1,1,1,0,2
1,17,3,1,0,3,1,1,1,1,1,1,1,1,1,0,1
2,13,2,1,0,3,1,2,2,3,2,1,2,1,1,0,3
2,17,3,1,1,3,1,1,1,4,4,2,2,1,1,0,4
2,16,3,1,1,4,1,1,1,4,1,2,3,1,1,0,3
1,15,3,1,1,3,1,2,1,2,2,2,1,1,1,0,2
2,10,1,1,1,3,1,2,1,2,1,1,1,1,1,0,2
2,14,2,2,1,3,1,1,2,4,3,3,2,1,2,0,2
2,13,2,2,1,2,1,1,1,1,2,1,2,1,1,0,2
1,12,2,1,0,4,2,1,2,4,3,1,3,1,3,4,2
2,16,3,1,0,2,1,2,1,3,1,1,1,1,1,0,3
2,16,3,1,0,2,1,2,2,3,2,2,1,2,2,1,3
2,14,2,1,0,1,2,2,2,3,1,2,2,1,1,0,2
2,16,3,1,0,2,1,1,1,3,2,1,2,2,2,0,2
2,16,3,1,0,2,1,2,1,2,1,2,2,1,2,1,3
2,16,3,2,0,3,1,2,2,2,2,2,2,1,1,2,3
2,11,1,2,0,3,1,2,1,3,1,2,3,1,1,0,2
2,17,3,2,0,2,1,2,1,3,2,1,1,1,1,0,2
2,16,3,2,0,3,1,2,2,3,2,2,2,1,1,0,2
1,15,3,1,0,3,3,1,2,3,1,1,3,2,2,2,2
1,9,1,2,0,2,2,1,2,3,1,1,3,2,2,2,2
2,12,2,1,0,3,1,2,2,2,2,2,2,1,2,0,2
1,11,1,2,0,3,1,1,2,3,1,1,1,1,1,0,0
2,14,2,3,0,4,3,1,2,3,1,1,1,2,2,1,4
2,9,1,1,0,4,1,2,2,2,2,3,3,1,1,0,3
2,13,2,1,0,2,2,1,2,2,2,2,2,1,1,0,3
2,17,3,2,0,3,2,2,3,2,2,2,2,1,1,1,3
2,17,3,1,0,3,1,2,1,3,1,1,3,1,1,1,3
2,11,1,1,1,2,1,2,1,3,3,2,2,1,1,0,3
2,9,1,1,1,1,3,1,2,2,1,2,3,1,1,0,2
1,10,1,2,1,3,1,2,2,2,1,1,2,1,1,1,2
2,12,2,2,1,3,1,2,2,3,1,1,1,1,1,0,3
2,12,2,1,1,3,1,3,3,3,2,2,1,1,2,0,3
1,13,2,1,1,2,2,2,1,3,2,1,2,2,1,0,2
1,16,3,1,1,2,2,2,2,3,2,2,2,1,1,0,3
1,15,3,1,1,2,1,2,1,4,1,1,1,1,1,0,3
1,12,2,2,1,2,1,2,1,1,2,1,2,1,1,0,2
2,12,2,1,1,2,1,3,1,3,2,1,1,1,1,0,2
2,15,3,2,1,3,2,2,2,3,4,1,1,1,1,0,2
1,13,2,2,1,2,1,2,3,3,2,1,1,1,1,1,2
1,11,1,2,0,1,4,2,5,1,4,3,4,2,4,2,3
2,14,2,1,0,2,1,3,3,3,3,2,3,1,1,0,2
2,15,3,2,0,3,1,3,2,3,2,2,1,1,1,0,2
2,17,3,2,0,3,1,1,1,3,1,1,3,1,1,0,3
2,13,2,1,0,3,2,1,1,3,3,3,3,1,1,1,2
2,12,2,2,0,2,1,2,3,3,2,1,3,1,1,0,3
2,10,1,1,0,1,1,1,4,2,2,2,1,1,1,0,2
2,14,2,1,0,4,1,2,1,4,2,2,2,1,1,0,2
2,17,3,1,0,2,1,3,3,1,3,4,1,1,1,3,3
1,14,2,1,0,3,1,1,1,1,3,1,3,1,2,2,3
1,16,3,1,0,2,1,1,2,2,3,2,2,1,1,2,2
2,14,2,1,0,4,1,1,1,4,2,1,1,2,1,0,3
1,13,2,2,0,2,2,2,1,4,2,1,2,1,1,3,3
2,15,3,1,1,4,1,2,2,4,3,2,2,1,1,1,3
2,12,2,1,1,4,1,1,1,3,1,1,1,1,1,0,2
1,17,3,1,1,3,1,1,1,3,1,1,1,1,1,1,3
2,16,3,1,1,4,1,2,2,4,2,3,1,1,1,0,3
2,17,3,1,1,3,1,3,1,3,3,1,1,1,1,1,2
1,17,3,1,1,2,2,2,1,2,1,2,2,1,2,0,2
1,14,2,1,1,3,1,2,2,3,1,1,3,1,1,0,3
1,11,1,1,0,2,1,2,1,3,2,1,1,1,1,0,2
1,14,2,2,0,2,1,2,1,1,1,1,3,1,1,0,2
1,16,3,1,0,2,2,2,2,3,1,1,2,2,2,1,3
2,17,3,3,0,3,1,2,2,3,3,2,2,3,3,1,3
1,17,3,2,0,2,3,2,2,2,3,3,3,4,4,2,0
1,14,2,3,0,3,1,1,2,3,1,1,5,4,4,0,0
2,11,1,3,0,3,1,3,3,3,1,3,1,1,1,1,2
2,15,3,3,1,3,1,2,2,3,2,1,2,1,1,0,1
2,10,1,2,0,4,1,1,1,3,1,1,1,1,1,0,2
2,13,2,2,0,2,1,2,2,2,1,2,4,2,1,0,2
2,14,2,2,0,4,1,2,1,4,1,1,3,1,1,0,2
2,16,3,2,0,3,1,2,2,3,3,1,1,1,1,0,3
2,13,2,2,0,2,2,3,3,2,2,2,2,1,1,2,2
2,17,3,1,0,3,1,3,3,3,3,3,2,1,2,1,2
2,11,1,1,0,2,1,2,1,2,3,1,1,1,1,0,2
2,13,2,1,0,2,1,1,1,4,1,1,1,1,1,0,1
2,15,3,1,0,3,1,1,1,3,1,3,1,1,1,0,3
1,12,2,1,0,1,1,3,1,3,3,3,1,1,1,0,2
1,13,2,2,0,3,1,1,1,2,1,2,2,1,2,0,2
2,16,3,1,0,2,1,3,2,2,2,1,3,1,1,1,2
2,11,1,1,0,2,1,2,2,2,2,2,2,1,2,0,1
1,14,2,1,0,3,1,1,1,3,2,2,2,1,2,2,3
2,11,1,1,0,2,1,1,2,4,2,1,2,1,2,1,2
1,16,3,1,0,2,1,1,1,2,3,2,2,1,2,1,3
2,10,1,2,0,3,1,2,2,3,2,5,1,1,1,0,3
2,12,2,1,0,4,1,1,1,1,4,1,3,1,1,0,3
1,13,2,2,0,3,1,1,1,3,1,1,1,1,1,0,3
2,11,1,2,0,4,1,1,1,4,1,1,2,1,1,1,2
2,17,3,3,0,2,1,2,2,3,1,5,1,1,1,0,3
1,14,2,1,0,4,1,1,1,4,1,3,1,1,1,0,3
1,10,1,1,1,2,2,2,2,5,2,3,3,1,1,0,2
1,10,1,1,1,2,2,2,1,1,1,1,1,1,2,0,2
2,11,1,1,1,3,1,2,1,3,1,1,2,1,1,0,2
2,14,2,1,1,3,1,1,1,3,1,1,1,1,1,0,3
2,12,2,1,1,2,1,1,1,3,1,1,1,1,1,0,2
1,13,2,2,1,2,2,2,2,2,2,2,2,1,1,0,2
2,17,3,1,1,2,1,2,2,3,3,3,3,1,1,0,3
2,15,3,2,1,2,1,1,1,3,1,1,1,1,1,0,3
1,9,1,2,0,2,2,1,1,2,2,2,2,1,1,0,2
1,13,2,2,0,3,2,2,1,3,1,1,1,2,2,0,2
1,13,2,1,0,3,3,1,3,1,3,3,2,2,2,0,2
1,12,2,2,0,2,1,1,1,2,2,2,2,1,1,0,1
2,15,3,1,0,3,1,1,1,3,1,1,1,1,1,0,2
2,14,2,1,0,3,1,2,1,2,2,2,1,1,1,0,2
1,15,3,1,0,2,5,2,1,1,5,1,2,1,1,0,2
1,17,3,2,0,3,1,1,1,3,1,1,1,1,1,0,3
2,11,1,1,0,1,1,1,1,2,1,1,1,1,1,0,2
1,10,1,1,0,2,1,1,1,1,3,2,3,1,1,0,2
